Date,Price,Open,High,Low,Vol.,Change %
12-Jun-14,839.85,824.50,844.95,812.85,3.18M,0.02
13-Jun-14,835.40,844.00,856.00,831.65,3.05M,0.01
16-Jun-14,839.00,831.00,842.80,830.30,1.33M,0.00
17-Jun-14,846.55,836.00,848.80,827.35,1.75M,0.01
18-Jun-14,834.85,847.10,851.40,828.75,1.34M,0.01
19-Jun-14,825.75,837.10,839.95,822.20,1.18M,0.01
20-Jun-14,821.95,826.00,831.75,819.35,742.44K,0.00
23-Jun-14,821.45,824.00,826.55,815.30,1.46M,0.00
24-Jun-14,829.00,825.35,832.75,825.00,1.27M,0.01
25-Jun-14,824.10,829.00,833.20,823.00,1.58M,0.01
26-Jun-14,812.40,820.00,826.60,808.65,5.45M,0.01
27-Jun-14,816.20,817.85,822.00,814.00,1.29M,0.00
30-Jun-14,821.55,819.90,832.70,819.90,1.54M,0.01
1-Jul-14,823.30,823.00,827.95,815.00,1.91M,0.00
2-Jul-14,839.90,830.80,842.00,825.50,1.91M,0.02
3-Jul-14,836.80,841.00,845.30,831.35,1.52M,0.00
4-Jul-14,856.65,836.80,858.95,835.10,1.41M,0.02
7-Jul-14,840.45,859.90,860.70,835.85,2.03M,0.02
8-Jul-14,829.25,844.00,848.35,820.00,1.68M,0.01
9-Jul-14,830.30,828.00,834.85,818.00,1.45M,0.00
10-Jul-14,823.35,830.30,848.00,812.25,2.46M,0.01
11-Jul-14,811.80,821.10,831.45,808.80,2.30M,0.01
14-Jul-14,817.45,815.00,820.00,807.15,1.23M,0.01
15-Jul-14,826.80,820.75,828.80,816.50,1.52M,0.01
16-Jul-14,835.75,829.50,838.50,817.90,2.40M,0.01
17-Jul-14,831.80,838.70,839.00,829.50,1.26M,0.00
18-Jul-14,832.45,828.90,836.80,822.00,1.82M,0.00
21-Jul-14,827.45,841.70,846.95,825.25,2.45M,0.01
22-Jul-14,839.85,829.90,842.65,827.00,1.74M,0.02
23-Jul-14,836.30,843.10,845.00,835.00,1.96M,0.00
24-Jul-14,842.25,836.00,844.00,833.00,1.07M,0.01
25-Jul-14,835.50,841.00,849.80,834.15,2.67M,0.01
28-Jul-14,829.55,838.50,839.80,828.00,971.24K,0.01
