Date,Price,Open,High,Low,Vol.,Change %
11-Mar-16,851.60,842.00,857.95,831.50,1.53M,1.68%
14-Mar-16,857.15,855.05,860.00,845.00,825.37K,0.65%
15-Mar-16,840.80,852.10,856.80,835.55,1.33M,-1.91%
16-Mar-16,844.15,844.90,845.85,831.00,1.51M,0.40%
17-Mar-16,849.65,848.10,855.00,843.00,1.97M,0.65%
18-Mar-16,848.35,850.00,852.00,838.00,1.85M,-0.15%
21-Mar-16,879.65,847.10,883.00,847.10,1.59M,3.69%
22-Mar-16,870.15,876.05,880.65,862.40,2.02M,-1.08%
23-Mar-16,873.60,870.00,877.35,860.55,1.37M,0.40%
28-Mar-16,863.65,876.00,876.10,860.20,2.03M,-1.14%
29-Mar-16,861.15,860.30,871.35,858.60,1.39M,-0.29%
30-Mar-16,861.65,862.00,878.95,858.90,1.45M,0.06%
31-Mar-16,869.50,855.50,875.70,855.50,2.64M,0.91%
1-Apr-16,867.80,867.10,874.90,856.00,1.10M,-0.20%
4-Apr-16,872.20,863.10,874.95,861.30,960.12K,0.51%
5-Apr-16,868.50,870.20,882.85,862.30,1.10M,-0.42%
6-Apr-16,871.70,869.00,872.90,863.00,1.04M,0.37%
7-Apr-16,860.00,870.00,874.85,855.05,848.06K,-1.34%
8-Apr-16,850.40,861.00,863.00,845.80,712.49K,-1.12%
11-Apr-16,864.30,853.00,867.85,845.10,943.74K,1.63%
12-Apr-16,872.50,866.90,874.40,860.20,867.41K,0.95%
13-Apr-16,897.70,875.00,899.60,873.50,1.90M,2.89%
18-Apr-16,899.15,900.20,904.95,886.50,1.09M,0.16%
20-Apr-16,904.10,899.10,906.00,893.15,1.42M,0.55%
21-Apr-16,904.05,905.00,906.90,896.00,1.16M,-0.01%
22-Apr-16,884.20,897.80,904.30,883.00,1.08M,-2.20%
25-Apr-16,884.15,880.50,889.00,875.50,828.06K,-0.01%
26-Apr-16,885.75,881.60,896.00,880.70,1.21M,0.18%
27-Apr-16,892.20,884.40,894.00,880.90,778.69K,0.73%
28-Apr-16,876.25,893.20,896.80,871.00,2.72M,-1.79%
29-Apr-16,867.90,876.00,879.35,859.20,1.58M,-0.95%
2-May-16,863.95,867.00,867.00,855.00,787.16K,-0.46%
