Date,Price,Open,High,Low,Vol.,Change %
22-Jan-15,441.88,452.57,453.60,439.75,10.84M,0.03
23-Jan-15,443.45,445.00,448.90,438.50,8.27M,0.00
27-Jan-15,444.52,446.45,448.35,440.25,8.20M,0.00
28-Jan-15,453.43,443.05,454.90,443.05,8.82M,0.02
29-Jan-15,464.70,453.55,467.25,453.45,16.51M,0.02
30-Jan-15,457.62,465.00,465.62,454.50,9.94M,0.02
02-Feb-15,454.02,458.02,459.95,452.85,8.82M,0.01
03-Feb-15,468.80,456.60,470.43,456.60,7.81M,0.03
04-Feb-15,464.40,469.55,471.90,462.95,6.43M,0.01
05-Feb-15,461.85,468.00,469.95,458.80,5.65M,0.01
06-Feb-15,454.95,462.05,465.00,451.50,4.14M,0.01
09-Feb-15,448.35,450.60,459.00,446.00,4.04M,0.01
10-Feb-15,441.00,449.00,452.25,430.65,6.24M,0.02
11-Feb-15,450.35,443.00,452.38,441.50,4.47M,0.02
12-Feb-15,454.57,454.00,456.98,443.62,3.98M,0.01
13-Feb-15,458.75,457.00,460.40,454.52,3.38M,0.01
16-Feb-15,451.40,459.35,462.10,450.00,5.61M,0.02
18-Feb-15,450.82,450.00,454.00,447.20,4.50M,0.00
19-Feb-15,451.02,453.48,453.80,443.77,4.37M,0.00
20-Feb-15,436.55,447.62,448.00,435.65,8.56M,0.03
23-Feb-15,425.73,434.98,438.38,423.55,6.45M,0.02
24-Feb-15,420.73,427.12,428.40,418.50,9.12M,0.01
25-Feb-15,421.57,424.40,428.25,420.52,6.98M,0.00
26-Feb-15,421.00,423.05,425.00,418.30,9.81M,0.00
27-Feb-15,427.77,423.77,430.50,422.30,8.53M,0.02
28-Feb-15,432.57,431.40,434.20,423.30,4.19M,0.01
02-Mar-15,432.12,434.50,437.75,427.77,6.67M,0.00
03-Mar-15,450.40,434.50,453.23,433.70,9.43M,0.04
04-Mar-15,443.93,453.00,454.82,440.02,6.62M,0.01
05-Mar-15,442.48,446.25,449.38,439.07,4.90M,0.00
09-Mar-15,434.82,442.55,445.88,432.07,6.43M,0.02
10-Mar-15,429.57,434.48,437.90,427.70,6.96M,0.01
11-Mar-15,427.98,430.48,434.80,426.20,5.32M,0.00
12-Mar-15,431.90,429.00,433.70,427.80,5.39M,0.01
13-Mar-15,425.05,434.50,434.80,423.50,5.91M,0.02
16-Mar-15,421.05,425.75,426.98,420.15,6.33M,0.01
17-Mar-15,428.43,425.27,429.95,420.50,8.72M,0.02
18-Mar-15,434.32,428.50,436.12,427.35,4.24M,0.01
19-Mar-15,428.07,437.77,438.35,427.05,6.37M,0.01
20-Mar-15,427.05,428.95,430.57,424.30,4.76M,0.00
23-Mar-15,420.98,428.25,432.00,419.05,6.06M,0.01
24-Mar-15,423.98,421.05,427.15,421.05,4.22M,0.01
25-Mar-15,422.45,424.50,424.75,420.50,4.69M,0.00
26-Mar-15,414.65,420.55,424.62,412.05,9.43M,0.02
27-Mar-15,405.85,416.95,417.50,400.73,10.66M,0.02
